,額外選擇層,,,後向新增層次,,,前向新增層次,,,對照組,,
model_id,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score
1,9226,36.93000031,36.92 ,2570,30.30999947,30.31 ,6154,37.29000092,37.28 ,2570,30.31999969,30.32 
2,1674,38.58000183,38.58 ,6154,39.66999817,39.66 ,6154,37.50999832,37.50 ,2570,29.80999947,29.81 
3,24586,36.31999969,36.30 ,6154,40.11000061,40.10 ,6154,37.72999954,37.72 ,2570,30.28000069,30.28 
4,6154,38.97999954,38.97 ,24586,37.54000092,37.52 ,9226,37.86999893,37.86 ,2570,29.80999947,29.81 
5,24586,38.83000183,38.81 ,24586,38.16999817,38.15 ,9226,32.84999847,32.84 ,2570,29.88999939,29.89 
6,24586,39.86000061,39.84 ,24586,37.49000168,37.47 ,24586,31.98999977,31.97 ,2570,30.28000069,30.28 
7,24586,33.04000092,33.02 ,6154,42.86000061,42.85 ,2570,30.45000076,30.45 ,2570,29.93000031,29.93 
8,6154,39.68999863,39.68 ,6154,37.90000153,37.89 ,6154,38.15999985,38.15 ,2570,29.93000031,29.93 
9,24586,36.81000137,36.79 ,24586,35.97999954,35.96 ,9226,30.88999939,30.88 ,2570,30.43000031,30.43 
10,6154,39.93000031,39.92 ,2570,30.19000053,30.19 ,6154,36.40999985,36.40 ,2570,30.13999939,30.14 
11,6154,41,40.99 ,6154,39.29000092,39.28 ,6154,37.95000076,37.94 ,2570,30.14999962,30.15 
12,9226,34.29000092,34.28 ,6154,40.79000092,40.78 ,9226,33.16999817,33.16 ,2570,30.20999908,30.21 
13,6154,38.52999878,38.52 ,9226,35.40000153,35.39 ,9226,33.33000183,33.32 ,2570,30.51000023,30.51 
14,6154,38.27000046,38.26 ,6154,41.59999847,41.59 ,24586,36.31999969,36.30 ,2570,30.86000061,30.86 
15,6154,40.93999863,40.93 ,2570,30.12999916,30.13 ,6154,36.22000122,36.21 ,2570,30.44000053,30.44 
16,24586,37.63000107,37.61 ,6154,40.27999878,40.27 ,24586,35.22999954,35.21 ,2570,29.47999954,29.48 
17,6154,36.79000092,36.78 ,6154,37.65999985,37.65 ,6154,38.95999908,38.95 ,2570,29.85000038,29.85 
18,6154,37.84000015,37.83 ,6154,36.52999878,36.52 ,24586,35.20999908,35.19 ,2570,30.01000023,30.01 
19,24586,36.50999832,36.49 ,6154,39.70000076,39.69 ,9226,36.36999893,36.36 ,2570,30.06999969,30.07 
20,2570,30.69000053,30.69 ,6154,41.25999832,41.25 ,2570,29.86000061,29.86 ,2570,30.45999908,30.46 
21,9226,39.93000031,39.92 ,24586,35.95999908,35.94 ,24586,37.5,37.48 ,2570,29.97999954,29.98 
22,6154,41.34999847,41.34 ,24586,36.13000107,36.11 ,6154,38.06000137,38.05 ,2570,30.12000084,30.12 
23,24586,41.65000153,41.63 ,6154,37.70999908,37.70 ,1546,35.45000076,35.45 ,2570,29.86000061,29.86 
24,24586,40.52000046,40.50 ,6154,39.47000122,39.46 ,9226,33.95000076,33.94 ,650,29.82999992,29.83 
25,24586,35.33000183,35.31 ,6154,34.66999817,34.66 ,2314,31.05999947,31.06 ,2570,30.39999962,30.40 
26,6154,39.27000046,39.26 ,24586,37.68000031,37.66 ,24586,39.79999924,39.78 ,2570,30.17000008,30.17 
27,24586,38.25999832,38.24 ,6154,37.16999817,37.16 ,9226,38.38000107,38.37 ,2570,30.04999924,30.05 
28,24586,41.61000061,41.59 ,6154,35.41999817,35.41 ,9226,31.5,31.49 ,2570,30.22999954,30.23 
29,6154,42.09999847,42.09 ,9226,38,37.99 ,6154,37.33000183,37.32 ,2570,30.62999916,30.63 
30,24586,39.70999908,39.69 ,10250,27.48999977,27.48 ,24586,38.06999969,38.05 ,2570,29.75,29.75 
mean,14179.60 ,38.37 ,38.36 ,10437.73 ,37.09 ,37.07 ,10855.87 ,35.50 ,35.48 ,2506.00 ,30.13 ,30.13 
std,9368.92 ,2.65 ,2.65 ,8098.20 ,3.63 ,3.63 ,8011.95 ,2.87 ,2.87 ,350.54 ,0.30 ,0.30 
