model_id,parameter_count,accuracy
1,2570,30.31999969482422
2,2570,29.809999465942383
3,2570,30.280000686645508
4,2570,29.809999465942383
5,2570,29.889999389648438
6,2570,30.280000686645508
7,2570,29.93000030517578
8,2570,29.93000030517578
9,2570,30.43000030517578
10,2570,30.139999389648438
11,2570,30.149999618530273
12,2570,30.209999084472656
13,2570,30.510000228881836
14,2570,30.860000610351562
15,2570,30.440000534057617
16,2570,29.479999542236328
17,2570,29.850000381469727
18,2570,30.010000228881836
19,2570,30.06999969482422
20,2570,30.459999084472656
21,2570,29.979999542236328
22,2570,30.1200008392334
23,2570,29.860000610351562
24,650,29.829999923706055
25,2570,30.399999618530273
26,2570,30.170000076293945
27,2570,30.049999237060547
28,2570,30.229999542236328
29,2570,30.6299991607666
30,2570,29.75
