model_id,parameter_count,accuracy
1,9226,36.93000030517578
2,1674,38.58000183105469
3,24586,36.31999969482422
4,6154,38.97999954223633
5,24586,38.83000183105469
6,24586,39.86000061035156
7,24586,33.040000915527344
8,6154,39.689998626708984
9,24586,36.810001373291016
10,6154,39.93000030517578
11,6154,41.0
12,9226,34.290000915527344
13,6154,38.529998779296875
14,6154,38.27000045776367
15,6154,40.939998626708984
16,24586,37.630001068115234
17,6154,36.790000915527344
18,6154,37.84000015258789
19,24586,36.5099983215332
20,2570,30.690000534057617
21,9226,39.93000030517578
22,6154,41.349998474121094
23,24586,41.650001525878906
24,24586,40.52000045776367
25,24586,35.33000183105469
26,6154,39.27000045776367
27,24586,38.2599983215332
28,24586,41.61000061035156
29,6154,42.099998474121094
30,24586,39.709999084472656
