model_id,parameter_count,accuracy
1,2570,30.309999465942383
2,6154,39.66999816894531
3,6154,40.11000061035156
4,24586,37.540000915527344
5,24586,38.16999816894531
6,24586,37.4900016784668
7,6154,42.86000061035156
8,6154,37.900001525878906
9,24586,35.97999954223633
10,2570,30.190000534057617
11,6154,39.290000915527344
12,6154,40.790000915527344
13,9226,35.400001525878906
14,6154,41.599998474121094
15,2570,30.1299991607666
16,6154,40.279998779296875
17,6154,37.65999984741211
18,6154,36.529998779296875
19,6154,39.70000076293945
20,6154,41.2599983215332
21,24586,35.959999084472656
22,24586,36.130001068115234
23,6154,37.709999084472656
24,6154,39.470001220703125
25,6154,34.66999816894531
26,24586,37.68000030517578
27,6154,37.16999816894531
28,6154,35.41999816894531
29,9226,38.0
30,10250,27.489999771118164
