model_id,parameter_count,accuracy
1,6154,37.290000915527344
2,6154,37.5099983215332
3,6154,37.72999954223633
4,9226,37.869998931884766
5,9226,32.849998474121094
6,24586,31.989999771118164
7,2570,30.450000762939453
8,6154,38.15999984741211
9,9226,30.889999389648438
10,6154,36.40999984741211
11,6154,37.95000076293945
12,9226,33.16999816894531
13,9226,33.33000183105469
14,24586,36.31999969482422
15,6154,36.220001220703125
16,24586,35.22999954223633
17,6154,38.959999084472656
18,24586,35.209999084472656
19,9226,36.369998931884766
20,2570,29.860000610351562
21,24586,37.5
22,6154,38.060001373291016
23,1546,35.45000076293945
24,9226,33.95000076293945
25,2314,31.059999465942383
26,24586,39.79999923706055
27,9226,38.380001068115234
28,9226,31.5
29,6154,37.33000183105469
30,24586,38.06999969482422
