,額外選擇層,,,後向新增層次,,,前向新增層次,,,對照組,,
model_id,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score
1,7850,83.41000366,83.4,7850,83.56999969,83.56,7850,83.61000061,83.6,7850,83.65000153,83.64
2,7850,83.15000153,83.14,7850,83.88999939,83.88,7850,83.37999725,83.37,7850,83.37999725,83.37
3,7850,83.58999634,83.58,7850,83.58000183,83.57,7850,83.44000244,83.43,7850,83.69000244,83.68
4,7850,83.58999634,83.58,7850,83.55999756,83.55,7850,83.59999847,83.59,7850,83.83000183,83.82
5,7850,83.76999664,83.76,7850,83.65000153,83.64,7850,83.77999878,83.77,7850,83.58999634,83.58
6,7850,83.47000122,83.46,7850,83.70999908,83.7,7850,83.70999908,83.7,7850,83.62000275,83.61
7,7850,83.94999695,83.94,7850,83.75,83.74,7850,83.56999969,83.56,7850,83.63999939,83.63
8,7850,83.91000366,83.9,7850,83.63999939,83.63,7850,83.73000336,83.72,7850,83.73999786,83.73
9,7850,83.54000092,83.53,7850,83.73999786,83.73,7850,83.61000061,83.6,7850,83.5,83.49
10,7850,83.63999939,83.63,7850,83.66000366,83.65,7850,83.58000183,83.57,7850,83.55000305,83.54
11,7850,83.48000336,83.47,7850,83.61000061,83.6,7850,83.58999634,83.58,7850,83.47000122,83.46
12,7850,83.98000336,83.97,7850,83.81999969,83.81,7850,83.44999695,83.44,7850,83.58999634,83.58
13,7850,83.79000092,83.78,7850,83.66999817,83.66,7850,83.66999817,83.66,7850,83.40000153,83.39
14,7850,83.81999969,83.81,7850,83.25,83.24,7850,83.38999939,83.38,7850,83.62000275,83.61
15,7850,83.25,83.24,7850,83.87000275,83.86,7850,83.63999939,83.63,7850,83.79000092,83.78
16,7850,83.62000275,83.61,7850,83.5,83.49,7850,83.84999847,83.84,7850,83.72000122,83.71
17,7850,83.37999725,83.37,7850,83.69999695,83.69,7850,83.75,83.74,7850,83.68000031,83.67
18,7850,83.59999847,83.59,7850,83.58000183,83.57,7850,83.40000153,83.39,7850,83.54000092,83.53
19,7850,83.69999695,83.69,7850,83.62000275,83.61,7850,83.73999786,83.73,7850,83.66999817,83.66
20,7850,83.62000275,83.61,7850,82.69000244,82.68,7850,83.23000336,83.22,7850,83.56999969,83.56
21,7850,83.75,83.74,7850,83.73999786,83.73,7850,83.54000092,83.53,7850,83.59999847,83.59
22,7850,83.69000244,83.68,7850,83.73999786,83.73,7850,83.72000122,83.71,7850,83.58999634,83.58
23,7850,83.45999908,83.45,7850,83.44999695,83.44,7850,83.59999847,83.59,7850,83.51999664,83.51
24,7850,83.80999756,83.8,7850,83.37999725,83.37,7850,83.65000153,83.64,7850,83.22000122,83.21
25,7850,83.36000061,83.35,7850,83.73000336,83.72,7850,83.65000153,83.64,7850,83.37999725,83.37
26,7850,83.55000305,83.54,7850,83.65000153,83.64,7850,83.36000061,83.35,7850,83.43000031,83.42
27,7850,83.79000092,83.78,7850,83.47000122,83.46,7850,83.47000122,83.46,7850,83.75,83.74
28,7850,83.37000275,83.36,7850,83.54000092,83.53,7850,83.62999725,83.62,7850,83.58000183,83.57
29,7850,83.52999878,83.52,7850,83.72000122,83.71,7850,83.66000366,83.65,7850,83.80000305,83.79
30,7850,83.66000366,83.65,7850,83.83999634,83.83,7850,83.66999817,83.66,7850,83.16000366,83.15
31,7850,83.61000061,83.6,7850,83.51999664,83.51,7850,83.47000122,83.46,7850,83.58999634,83.58
