model_id,parameter_count,accuracy
1,7850,83.6500015258789
2,7850,83.37999725341797
3,7850,83.69000244140625
4,7850,83.83000183105469
5,7850,83.58999633789062
6,7850,83.62000274658203
7,7850,83.63999938964844
8,7850,83.73999786376953
9,7850,83.5
10,7850,83.55000305175781
11,7850,83.47000122070312
12,7850,83.58999633789062
13,7850,83.4000015258789
14,7850,83.62000274658203
15,7850,83.79000091552734
16,7850,83.72000122070312
17,7850,83.68000030517578
18,7850,83.54000091552734
19,7850,83.66999816894531
20,7850,83.56999969482422
21,7850,83.5999984741211
22,7850,83.58999633789062
23,7850,83.5199966430664
24,7850,83.22000122070312
25,7850,83.37999725341797
26,7850,83.43000030517578
27,7850,83.75
28,7850,83.58000183105469
29,7850,83.80000305175781
30,7850,83.16000366210938
31,7850,83.58999633789062
32,7850,83.5199966430664
33,7850,83.52999877929688
34,7850,83.33000183105469
35,7850,83.47000122070312
36,7850,83.36000061035156
37,7850,83.80999755859375
38,7850,83.79000091552734
39,7850,83.95999908447266
40,7850,83.55000305175781
41,7850,83.69000244140625
42,7850,83.8499984741211
43,7850,83.41999816894531
44,7850,83.52999877929688
45,7850,83.61000061035156
46,7850,83.51000213623047
47,7850,83.61000061035156
48,7850,83.83000183105469
49,7850,83.5
50,7850,83.97000122070312
51,7850,83.73999786376953
52,7850,83.06999969482422
53,7850,83.83999633789062
54,7850,83.73999786376953
55,7850,83.51000213623047
56,7850,83.48999786376953
57,7850,83.55999755859375
58,7850,83.72000122070312
59,7850,83.52999877929688
60,7850,83.55999755859375
61,7850,83.62999725341797
62,7850,83.61000061035156
63,7850,83.58999633789062
64,7850,83.5999984741211
65,7850,83.4000015258789
66,7850,83.41999816894531
67,7850,83.5999984741211
68,7850,83.69999694824219
69,7850,83.5
70,7850,83.81999969482422
71,7850,83.5199966430664
72,7850,83.80999755859375
73,7850,83.69000244140625
74,7850,83.7300033569336
75,7850,83.66000366210938
76,7850,83.36000061035156
77,7850,83.3499984741211
78,7850,83.62999725341797
79,7850,83.56999969482422
80,7850,83.76000213623047
81,7850,83.66999816894531
82,7850,83.58000183105469
83,7850,83.52999877929688
84,7850,83.66999816894531
85,7850,83.7699966430664
86,7850,83.33999633789062
87,7850,83.69999694824219
88,7850,83.47000122070312
89,7850,83.7699966430664
90,7850,83.47000122070312
91,7850,83.43000030517578
92,7850,83.62000274658203
93,7850,83.70999908447266
94,7850,83.2699966430664
95,7850,83.7699966430664
96,7850,83.33000183105469
97,7850,83.25
98,7850,83.69999694824219
99,7850,83.52999877929688
100,7850,83.19999694824219
