model_id,parameter_count,accuracy
1,7850,83.56999969482422
2,7850,83.88999938964844
3,7850,83.58000183105469
4,7850,83.55999755859375
5,7850,83.6500015258789
6,7850,83.70999908447266
7,7850,83.75
8,7850,83.63999938964844
9,7850,83.73999786376953
10,7850,83.66000366210938
11,7850,83.61000061035156
12,7850,83.81999969482422
13,7850,83.66999816894531
14,7850,83.25
15,7850,83.87000274658203
16,7850,83.5
17,7850,83.69999694824219
18,7850,83.58000183105469
19,7850,83.62000274658203
20,7850,82.69000244140625
21,7850,83.73999786376953
22,7850,83.73999786376953
23,7850,83.44999694824219
24,7850,83.37999725341797
25,7850,83.7300033569336
26,7850,83.6500015258789
27,7850,83.47000122070312
28,7850,83.54000091552734
29,7850,83.72000122070312
30,7850,83.83999633789062
31,7850,83.5199966430664
32,7850,83.6500015258789
33,7850,83.62999725341797
34,7850,83.56999969482422
35,7850,83.55000305175781
36,7850,83.48999786376953
37,7850,83.45999908447266
38,7850,83.52999877929688
39,7850,83.36000061035156
40,7850,83.69999694824219
41,7850,83.62999725341797
42,7850,83.55000305175781
43,7850,83.66000366210938
44,7850,83.75
45,7850,83.37999725341797
46,7850,83.5
47,7850,83.72000122070312
48,7850,83.26000213623047
49,7850,83.73999786376953
50,7850,83.48999786376953
51,7850,83.47000122070312
52,7850,83.81999969482422
53,7850,83.66000366210938
54,7850,83.66999816894531
55,7850,83.19000244140625
56,7850,83.5
57,7850,83.76000213623047
58,7850,83.56999969482422
59,7850,83.83999633789062
60,7850,83.58999633789062
61,7850,83.5999984741211
62,7850,83.7699966430664
63,7850,83.55999755859375
64,7850,83.5199966430664
65,7850,83.66000366210938
66,7850,83.69000244140625
67,7850,83.62000274658203
68,7850,83.70999908447266
69,7850,83.16999816894531
70,7850,83.1500015258789
71,7850,83.62000274658203
72,7850,83.38999938964844
73,7850,83.55000305175781
74,7850,83.44000244140625
75,7850,83.7300033569336
76,7850,83.80000305175781
77,7850,83.58000183105469
78,7850,83.4800033569336
79,7850,83.5999984741211
80,7850,83.73999786376953
81,7850,83.7300033569336
82,7850,83.69000244140625
83,7850,83.58999633789062
84,7850,83.58000183105469
85,7850,83.5199966430664
86,7850,83.62000274658203
87,7850,83.68000030517578
88,7850,83.5199966430664
89,7850,83.75
90,7850,83.55999755859375
91,7850,83.6500015258789
92,7850,83.63999938964844
93,7850,83.33000183105469
94,7850,83.7699966430664
95,7850,83.58999633789062
96,7850,83.88999938964844
97,7850,83.08999633789062
98,7850,83.7300033569336
99,7850,83.48999786376953
100,7850,83.7699966430664
