model_id,parameter_count,accuracy
1,4714,79.20999908447266
2,4714,79.5
3,18826,78.9800033569336
4,18826,79.05000305175781
5,7850,69.94999694824219
6,4714,78.9000015258789
7,4714,77.98999786376953
8,18826,78.69999694824219
9,18826,78.05000305175781
10,18826,75.54000091552734
11,4714,78.83999633789062
12,18826,78.23999786376953
13,4714,78.86000061035156
14,7850,69.86000061035156
15,18826,77.45999908447266
16,18826,78.33999633789062
17,4714,78.25
18,18826,78.30000305175781
19,18826,79.70999908447266
20,4714,79.68000030517578
21,4714,80.08000183105469
22,7850,69.77999877929688
23,18826,78.62999725341797
24,4714,79.1500015258789
25,4714,80.30000305175781
26,18826,79.44999694824219
27,4714,79.86000061035156
28,4714,79.45999908447266
29,4714,78.58999633789062
30,18826,79.48999786376953
31,18826,80.23999786376953
32,4714,79.66000366210938
33,4714,78.87000274658203
34,4714,78.3499984741211
35,18826,80.06999969482422
36,4714,79.43000030517578
37,4714,79.0999984741211
38,18826,79.61000061035156
39,18826,78.86000061035156
40,4714,78.72000122070312
41,18826,79.29000091552734
42,4714,78.63999938964844
43,4714,78.23999786376953
44,7850,69.43000030517578
45,18826,78.95999908447266
46,4714,79.55000305175781
47,4714,78.83999633789062
48,18826,78.87999725341797
49,4714,79.23999786376953
50,18826,75.54000091552734
51,4714,77.5999984741211
52,4714,78.86000061035156
53,4714,79.36000061035156
54,18826,77.0199966430664
55,4714,79.81999969482422
56,18826,77.27999877929688
57,18826,78.6500015258789
58,4714,77.47000122070312
59,4714,79.05999755859375
60,4714,79.72000122070312
61,7850,69.5
62,18826,78.2300033569336
63,7850,69.5999984741211
64,4714,78.44000244140625
65,18826,78.41000366210938
66,18826,77.8499984741211
67,4714,80.29000091552734
68,4714,77.0199966430664
69,4714,78.87000274658203
70,18826,77.61000061035156
71,4714,77.75
72,4714,78.75
73,4714,78.87000274658203
74,4714,80.33999633789062
75,4714,78.33999633789062
76,4714,79.01000213623047
77,18826,78.8499984741211
78,4714,77.95999908447266
79,18826,78.31999969482422
80,4714,77.45999908447266
81,18826,78.7300033569336
82,7850,69.62999725341797
83,18826,79.5
84,18826,79.11000061035156
85,4714,80.16999816894531
86,4714,77.80000305175781
87,18826,78.69999694824219
88,18826,80.93000030517578
89,4714,79.55999755859375
90,18826,80.44000244140625
91,7850,70.19999694824219
92,4714,79.63999938964844
93,18826,77.68000030517578
94,4714,79.11000061035156
95,4714,77.55000305175781
96,4714,78.44999694824219
97,18826,77.01000213623047
98,18826,77.16999816894531
99,18826,80.1500015258789
100,4714,80.37000274658203
