model_id,parameter_count,accuracy
1,4714,77.31999969482422
2,4714,79.83999633789062
3,18826,79.1500015258789
4,18826,77.81999969482422
5,18826,78.51000213623047
6,4714,79.98999786376953
7,18826,80.3499984741211
8,18826,78.45999908447266
9,18826,78.81999969482422
10,4714,78.75
11,18826,81.54000091552734
12,4714,77.75
13,4714,79.33000183105469
14,4714,78.13999938964844
15,18826,78.12999725341797
16,18826,79.0999984741211
17,4714,79.93000030517578
18,18826,79.4800033569336
19,4714,78.56999969482422
20,4714,79.4000015258789
21,18826,78.13999938964844
22,18826,78.0199966430664
23,4714,78.2300033569336
24,18826,81.44000244140625
25,7850,70.13999938964844
26,4714,78.30000305175781
27,18826,79.5
28,18826,78.44000244140625
29,18826,77.47000122070312
30,4714,78.94999694824219
31,4714,78.62000274658203
32,18826,78.22000122070312
33,4714,79.2699966430664
34,18826,78.9000015258789
35,18826,79.94999694824219
36,4714,78.79000091552734
37,18826,79.94000244140625
38,18826,78.25
39,18826,77.4800033569336
40,4714,79.94000244140625
41,4714,78.94999694824219
42,18826,78.18000030517578
43,18826,79.19000244140625
44,4714,76.88999938964844
45,18826,80.2300033569336
46,4714,78.83999633789062
47,18826,78.91000366210938
48,4714,78.73999786376953
49,18826,77.0999984741211
50,7850,70.08999633789062
51,4714,79.2300033569336
52,4714,79.06999969482422
53,4714,79.08000183105469
54,4714,76.01000213623047
55,4714,79.3499984741211
56,4714,78.73999786376953
57,18826,80.16000366210938
58,4714,78.33999633789062
59,4714,78.31999969482422
60,4714,80.58999633789062
61,7850,69.83999633789062
62,18826,77.3499984741211
63,4714,79.69999694824219
64,18826,78.93000030517578
65,4714,79.55000305175781
66,4714,79.30000305175781
67,7850,70.2699966430664
68,18826,79.4800033569336
69,4714,78.81999969482422
70,18826,79.77999877929688
71,18826,78.13999938964844
72,4714,78.55000305175781
73,4714,78.94000244140625
74,4714,78.30000305175781
75,4714,77.73999786376953
76,4714,78.26000213623047
77,18826,78.66000366210938
78,7850,70.18000030517578
79,18826,78.69000244140625
80,4714,78.66000366210938
81,18826,79.06999969482422
82,18826,80.38999938964844
83,4714,78.37000274658203
84,4714,79.66999816894531
85,4714,79.30000305175781
86,4714,78.41000366210938
87,4714,76.77999877929688
88,4714,79.69999694824219
89,18826,79.91000366210938
90,18826,77.63999938964844
91,18826,77.68000030517578
92,4714,79.4000015258789
93,4714,79.04000091552734
94,18826,77.87999725341797
95,4714,79.22000122070312
96,4714,79.08000183105469
97,18826,77.69999694824219
98,18826,79.91000366210938
99,18826,79.72000122070312
100,18826,78.51000213623047
