model_id,parameter_count,accuracy
1,7850,69.68000030517578
2,4714,79.47000122070312
3,18826,78.77999877929688
4,18826,78.88999938964844
5,18826,77.13999938964844
6,4714,79.66999816894531
7,4714,78.5199966430664
8,4714,79.30999755859375
9,18826,78.83000183105469
10,18826,77.33000183105469
11,18826,79.33000183105469
12,18826,78.61000061035156
13,18826,76.11000061035156
14,7850,69.41999816894531
15,18826,78.26000213623047
16,18826,79.2699966430664
17,18826,78.16000366210938
18,18826,80.12999725341797
19,7850,70.0199966430664
20,18826,79.5999984741211
21,4714,77.43000030517578
22,4714,78.11000061035156
23,4714,79.27999877929688
24,4714,79.68000030517578
25,4714,79.3499984741211
26,18826,80.26000213623047
27,18826,78.91000366210938
28,18826,76.69999694824219
29,4714,79.31999969482422
30,18826,79.9000015258789
31,18826,79.27999877929688
32,4714,80.05999755859375
33,18826,78.2300033569336
34,7850,70.0
35,18826,77.38999938964844
36,18826,78.55999755859375
37,18826,79.3499984741211
38,18826,78.69000244140625
39,18826,79.83999633789062
40,18826,80.05000305175781
41,18826,80.3499984741211
42,4714,78.6500015258789
43,18826,77.33999633789062
44,4714,78.55000305175781
45,18826,80.04000091552734
46,4714,78.98999786376953
47,18826,78.2300033569336
48,18826,79.01000213623047
49,4714,79.31999969482422
50,4714,79.11000061035156
51,4714,80.47000122070312
52,18826,78.62000274658203
53,18826,77.9000015258789
54,4714,79.5199966430664
55,4714,80.12999725341797
56,18826,79.41000366210938
57,18826,78.26000213623047
58,18826,79.5999984741211
59,18826,77.5
60,4714,77.26000213623047
61,18826,78.9800033569336
62,4714,79.7699966430664
63,18826,79.2699966430664
64,18826,79.33999633789062
65,18826,78.52999877929688
66,18826,79.30000305175781
67,18826,79.0199966430664
68,4714,80.51000213623047
69,18826,78.87999725341797
70,4714,79.1500015258789
71,4714,78.88999938964844
72,18826,78.47000122070312
73,18826,76.88999938964844
74,18826,77.88999938964844
75,18826,76.94999694824219
76,18826,78.45999908447266
77,7850,69.83000183105469
78,18826,77.25
79,4714,78.4000015258789
80,4714,78.69000244140625
81,4714,78.41999816894531
82,4714,77.87000274658203
83,18826,80.0
84,4714,78.9000015258789
85,4714,78.81999969482422
86,4714,78.5199966430664
87,18826,79.33000183105469
88,7850,69.76000213623047
89,18826,79.97000122070312
90,18826,77.8499984741211
91,7850,69.80999755859375
92,18826,79.19000244140625
93,18826,78.66000366210938
94,4714,78.05999755859375
95,18826,79.37999725341797
96,18826,78.6500015258789
97,18826,79.0
98,7850,69.86000061035156
99,7850,70.02999877929688
100,4714,79.70999908447266
