	額外選擇層			後向新增層次			前向新增層次			對照組		
model_id	parameter_count	accuracy	score	parameter_count	accuracy	score	parameter_count	accuracy	score	parameter_count	accuracy	score
1	4714 	96.19 	96.19 	7066 	93.41 	93.40 	7850 	92.06 	92.05 	7850 	92.00 	91.99 
2	4714 	96.12 	96.12 	7850 	92.14 	92.13 	4714 	95.87 	95.87 	7850 	91.97 	91.96 
3	4714 	96.36 	96.36 	18826 	94.97 	94.95 	4714 	96.37 	96.37 	7850 	92.05 	92.04 
4	7850 	91.98 	91.97 	7066 	94.86 	94.85 	18826 	94.72 	94.70 	7850 	92.02 	92.01 
5	7850 	92.12 	92.11 	18826 	95.09 	95.07 	4714 	95.56 	95.56 	7850 	92.15 	92.14 
6	18826 	95.29 	95.27 	18826 	93.61 	93.59 	4714 	96.25 	96.25 	7850 	92.01 	92.00 
7	4714 	96.31 	96.31 	7850 	92.11 	92.10 	7850 	92.00 	91.99 	7850 	92.07 	92.06 
8	4714 	96.04 	96.04 	18826 	94.62 	94.60 	7850 	91.98 	91.97 	7850 	91.99 	91.98 
9	7850 	91.83 	91.82 	7066 	93.78 	93.77 	4714 	95.95 	95.95 	7850 	92.09 	92.08 
10	18826 	95.63 	95.61 	18826 	95.59 	95.57 	18826 	94.25 	94.23 	7850 	92.00 	91.99 
11	4714 	95.97 	95.97 	7850 	92.01 	92.00 	7850 	92.01 	92.00 	7850 	91.99 	91.98 
12	4714 	96.17 	96.17 	7850 	92.14 	92.13 	4714 	96.06 	96.06 	7850 	91.91 	91.90 
13	7066 	94.93 	94.92 	18826 	94.91 	94.89 	18826 	94.97 	94.95 	7850 	92.00 	91.99 
14	5106 	95.82 	95.81 	18826 	95.62 	95.60 	4714 	95.08 	95.08 	7850 	92.07 	92.06 
15	4714 	96.13 	96.13 	18826 	94.87 	94.85 	4714 	95.97 	95.97 	7850 	92.02 	92.01 
16	4714 	96.37 	96.37 	7850 	92.00 	91.99 	4714 	95.84 	95.84 	7850 	91.98 	91.97 
17	7850 	91.98 	91.97 	18826 	95.19 	95.17 	18826 	95.23 	95.21 	7850 	92.13 	92.12 
18	4714 	95.99 	95.99 	7850 	92.25 	92.24 	4714 	95.43 	95.43 	7850 	92.13 	92.12 
19	18826 	94.55 	94.53 	18826 	95.07 	95.05 	4714 	95.93 	95.93 	7850 	91.93 	91.92 
20	4714 	96.05 	96.05 	7066 	94.55 	94.54 	4714 	95.77 	95.77 	7850 	91.98 	91.97 
21	4714 	96.47 	96.47 	7066 	92.98 	92.97 	18826 	96.11 	96.09 	7850 	91.98 	91.97 
22	4714 	95.88 	95.88 	7850 	91.81 	91.80 	4714 	96.06 	96.06 	7850 	92.12 	92.11 
23	4714 	96.11 	96.11 	18826 	94.98 	94.96 	4714 	95.62 	95.62 	7850 	91.97 	91.96 
24	4714 	96.02 	96.02 	7850 	91.98 	91.97 	4714 	95.26 	95.26 	7850 	91.98 	91.97 
25	7850 	91.90 	91.89 	18826 	95.06 	95.04 	7850 	92.05 	92.04 	7850 	92.14 	92.13 
