model_id,parameter_count,accuracy
1,4714,96.19000244140625
2,4714,96.12000274658203
3,4714,96.36000061035156
4,7850,91.9800033569336
5,7850,92.12000274658203
6,18826,95.29000091552734
7,4714,96.30999755859375
8,4714,96.04000091552734
9,7850,91.83000183105469
10,18826,95.62999725341797
11,4714,95.97000122070312
12,4714,96.16999816894531
13,7066,94.93000030517578
14,5106,95.81999969482422
15,4714,96.12999725341797
16,4714,96.37000274658203
17,7850,91.9800033569336
18,4714,95.98999786376953
19,18826,94.55000305175781
20,4714,96.05000305175781
21,4714,96.47000122070312
22,4714,95.87999725341797
23,4714,96.11000061035156
24,4714,96.0199966430664
25,7850,91.9000015258789
26,4714,96.52999877929688
27,4714,96.0
28,4714,95.9800033569336
29,4714,96.2300033569336
30,4714,95.80999755859375
31,7850,92.08999633789062
32,4714,96.19000244140625
33,4714,95.91999816894531
34,4714,96.25
35,4714,96.27999877929688
36,4714,96.12000274658203
37,18826,94.70999908447266
38,4714,96.04000091552734
39,4714,95.91000366210938
40,4714,95.81999969482422
41,18826,95.55000305175781
42,4714,96.08000183105469
43,4714,95.81999969482422
44,18826,95.58999633789062
45,4714,96.02999877929688
46,18826,95.1500015258789
47,18826,94.5
48,4714,95.98999786376953
49,4714,95.91999816894531
50,4714,96.37999725341797
51,4714,95.8499984741211
52,4714,96.13999938964844
53,18826,95.25
54,4714,95.73999786376953
55,4714,95.9800033569336
56,4714,96.12000274658203
57,4714,96.25
58,7850,92.05000305175781
59,4714,95.72000122070312
60,18826,95.56999969482422
61,4714,96.62999725341797
62,18826,95.01000213623047
63,4714,96.05999755859375
64,4714,96.12000274658203
65,4714,95.87000274658203
66,4714,95.66999816894531
67,18826,94.69999694824219
68,7850,92.0
69,4714,96.04000091552734
70,7850,92.08000183105469
71,4714,96.02999877929688
72,7066,94.4000015258789
73,4714,95.69999694824219
74,4714,96.2300033569336
75,4714,96.0999984741211
76,18826,94.9000015258789
77,4714,95.9000015258789
78,4714,96.05000305175781
79,5106,96.4800033569336
80,18826,95.27999877929688
81,18826,94.94999694824219
82,7066,94.01000213623047
83,4714,95.62999725341797
84,4714,96.13999938964844
85,4714,96.19999694824219
86,4714,95.62999725341797
87,18826,94.8499984741211
88,18826,94.70999908447266
89,7850,92.02999877929688
90,7850,92.0199966430664
91,4714,96.06999969482422
92,18826,95.62000274658203
93,4714,96.38999938964844
94,7850,92.16000366210938
95,7850,92.01000213623047
96,4714,96.2300033569336
97,4714,96.0999984741211
98,7066,95.12999725341797
99,18826,95.33999633789062
100,4714,95.91999816894531
