model_id,parameter_count,accuracy
1,7066,93.41000366210938
2,7850,92.13999938964844
3,18826,94.97000122070312
4,7066,94.86000061035156
5,18826,95.08999633789062
6,18826,93.61000061035156
7,7850,92.11000061035156
8,18826,94.62000274658203
9,7066,93.77999877929688
10,18826,95.58999633789062
11,7850,92.01000213623047
12,7850,92.13999938964844
13,18826,94.91000366210938
14,18826,95.62000274658203
15,18826,94.87000274658203
16,7850,92.0
17,18826,95.19000244140625
18,7850,92.25
19,18826,95.06999969482422
20,7066,94.55000305175781
21,7066,92.9800033569336
22,7850,91.80999755859375
23,18826,94.9800033569336
24,7850,91.9800033569336
25,18826,95.05999755859375
26,7066,93.95999908447266
27,18826,94.25
28,7066,93.93000030517578
29,18826,94.86000061035156
30,7850,92.05999755859375
31,7850,92.13999938964844
32,18826,94.36000061035156
33,7066,93.7300033569336
34,7850,92.1500015258789
35,7066,93.54000091552734
36,7850,92.13999938964844
37,7850,92.05999755859375
38,18826,95.94000244140625
39,18826,95.31999969482422
40,7850,92.0
41,7850,91.87999725341797
42,18826,95.18000030517578
43,7850,92.0999984741211
44,7066,93.98999786376953
45,18826,94.4000015258789
46,18826,94.43000030517578
47,18826,95.76000213623047
48,18826,94.5199966430664
49,18826,94.31999969482422
50,18826,94.87999725341797
51,18826,93.36000061035156
52,7850,92.0199966430664
53,7850,92.13999938964844
54,18826,94.06999969482422
55,18826,95.11000061035156
56,18826,94.87999725341797
57,18826,93.70999908447266
58,18826,94.33000183105469
59,18826,95.1500015258789
60,18826,95.20999908447266
61,18826,95.08999633789062
62,7850,92.04000091552734
63,18826,95.4000015258789
64,7066,94.05999755859375
65,7850,92.05000305175781
66,18826,94.88999938964844
67,7066,94.05999755859375
68,18826,94.76000213623047
69,7850,92.08999633789062
70,7850,91.94999694824219
71,7850,92.11000061035156
72,7850,92.04000091552734
73,18826,94.70999908447266
74,18826,94.83999633789062
75,18826,94.97000122070312
76,18826,95.0
77,7850,91.94999694824219
78,7850,92.06999969482422
79,18826,94.88999938964844
80,18826,94.45999908447266
81,7066,94.7699966430664
82,18826,95.33000183105469
83,18826,95.01000213623047
84,18826,95.27999877929688
85,18826,95.48999786376953
86,18826,94.6500015258789
87,7850,92.1500015258789
88,7066,94.22000122070312
89,18826,95.01000213623047
90,18826,95.58999633789062
91,7850,91.98999786376953
92,7850,92.13999938964844
93,7850,92.08000183105469
94,18826,94.91999816894531
95,7850,92.08000183105469
96,18826,95.20999908447266
97,7066,93.30000305175781
98,18826,94.68000030517578
99,7850,92.11000061035156
100,18826,93.86000061035156
