model_id,parameter_count,accuracy
1,7850,92.05999755859375
2,4714,95.87000274658203
3,4714,96.37000274658203
4,18826,94.72000122070312
5,4714,95.55999755859375
6,4714,96.25
7,7850,92.0
8,7850,91.9800033569336
9,4714,95.94999694824219
10,18826,94.25
11,7850,92.01000213623047
12,4714,96.05999755859375
13,18826,94.97000122070312
14,4714,95.08000183105469
15,4714,95.97000122070312
16,4714,95.83999633789062
17,18826,95.2300033569336
18,4714,95.43000030517578
19,4714,95.93000030517578
20,4714,95.7699966430664
21,18826,96.11000061035156
22,4714,96.05999755859375
23,4714,95.62000274658203
24,4714,95.26000213623047
25,7850,92.05000305175781
26,4714,95.58000183105469
27,7850,91.91000366210938
28,4714,95.80999755859375
29,7850,91.97000122070312
30,4714,96.16000366210938
31,4714,96.05000305175781
32,4714,95.9000015258789
33,4714,96.0
34,4714,95.69000244140625
35,4714,95.77999877929688
36,7850,92.06999969482422
37,7850,92.13999938964844
38,7850,91.94999694824219
39,4714,95.33000183105469
40,4714,95.98999786376953
41,4714,95.04000091552734
42,4714,95.52999877929688
43,4714,95.72000122070312
44,18826,95.05000305175781
45,4714,95.48999786376953
46,4714,95.56999969482422
47,4714,95.36000061035156
48,4714,96.0
49,4714,95.95999908447266
50,4714,94.87000274658203
51,4714,95.87000274658203
52,4714,95.05000305175781
53,4714,95.79000091552734
54,4714,95.12999725341797
55,4714,95.81999969482422
56,4714,95.30000305175781
57,7850,91.91000366210938
58,4714,95.4000015258789
59,4714,95.37999725341797
60,4714,96.06999969482422
61,4714,95.1500015258789
62,4714,95.68000030517578
63,7850,92.02999877929688
64,18826,92.88999938964844
65,4714,95.55999755859375
66,4714,95.5
67,4714,95.70999908447266
68,4714,95.91000366210938
69,18826,93.94999694824219
70,18826,95.43000030517578
71,7850,92.11000061035156
72,7850,92.16000366210938
73,4714,95.9800033569336
74,4714,95.43000030517578
75,4714,95.98999786376953
76,7850,91.88999938964844
77,4714,95.51000213623047
78,4714,96.01000213623047
79,4714,95.87000274658203
80,4714,95.66000366210938
81,4714,95.87999725341797
82,4714,95.63999938964844
83,4714,95.48999786376953
84,18826,95.20999908447266
85,4714,95.69000244140625
86,18826,94.86000061035156
87,18826,94.4000015258789
88,7850,92.1500015258789
89,4714,95.5199966430664
90,4714,95.58999633789062
91,4714,95.37000274658203
92,4714,95.63999938964844
93,18826,93.52999877929688
94,18826,93.66999816894531
95,4714,95.62000274658203
96,4714,95.87999725341797
97,4714,95.7699966430664
98,4714,95.55000305175781
99,4714,95.66999816894531
100,4714,95.66000366210938
