,額外選擇層,,,後向新增層次,,,前向新增層次,,,對照組,,
model_id,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score,parameter_count,accuracy,score
1,7850 ,91.59 ,91.58 ,18826 ,93.83 ,93.81 ,18826 ,93.96 ,93.94 ,7850 ,91.60 ,91.59 
2,4714 ,95.54 ,95.53 ,18826 ,93.82 ,93.80 ,7850 ,91.63 ,91.62 ,7850 ,91.68 ,91.67 
3,4714 ,95.67 ,95.66 ,18826 ,95.10 ,95.08 ,7850 ,91.65 ,91.64 ,7850 ,91.68 ,91.67 
4,18826 ,95.04 ,95.03 ,7850 ,91.65 ,91.65 ,4714 ,95.01 ,95.01 ,7850 ,91.68 ,91.67 
5,7850 ,91.52 ,91.51 ,18826 ,94.11 ,94.09 ,4714 ,95.26 ,95.26 ,7850 ,91.58 ,91.57 
6,4714 ,95.50 ,95.50 ,7850 ,91.59 ,91.59 ,4714 ,94.75 ,94.75 ,7850 ,91.60 ,91.59 
7,4714 ,95.43 ,95.43 ,18826 ,94.28 ,94.26 ,4714 ,95.68 ,95.67 ,7850 ,91.53 ,91.53 
8,4714 ,95.25 ,95.24 ,18826 ,94.14 ,94.12 ,4714 ,95.21 ,95.21 ,7850 ,91.60 ,91.59 
9,4714 ,95.47 ,95.47 ,18826 ,94.12 ,94.10 ,4714 ,95.41 ,95.41 ,7850 ,91.65 ,91.64 
10,4714 ,95.95 ,95.95 ,18826 ,93.50 ,93.48 ,18826 ,93.86 ,93.84 ,7850 ,91.65 ,91.64 
11,4714 ,95.91 ,95.90 ,18826 ,94.62 ,94.60 ,7850 ,91.62 ,91.61 ,7850 ,91.67 ,91.66 
12,4714 ,95.75 ,95.75 ,7850 ,91.60 ,91.59 ,4714 ,95.51 ,95.51 ,7850 ,91.52 ,91.51 
13,4714 ,95.90 ,95.90 ,7850 ,91.64 ,91.64 ,4714 ,95.45 ,95.45 ,7850 ,91.66 ,91.65 
14,18826 ,95.20 ,95.18 ,18826 ,94.17 ,94.15 ,4714 ,95.40 ,95.40 ,7850 ,91.57 ,91.56 
15,4714 ,95.72 ,95.72 ,18826 ,94.30 ,94.28 ,18826 ,94.67 ,94.65 ,7850 ,91.62 ,91.61 
16,4714 ,95.86 ,95.85 ,18826 ,94.04 ,94.02 ,4714 ,95.21 ,95.21 ,7850 ,91.59 ,91.58 
17,4714 ,95.61 ,95.60 ,18826 ,93.62 ,93.60 ,4714 ,95.71 ,95.71 ,7850 ,91.57 ,91.56 
18,4714 ,95.63 ,95.62 ,7850 ,91.56 ,91.55 ,7850 ,91.56 ,91.55 ,7850 ,91.64 ,91.64 
19,4714 ,95.52 ,95.52 ,18826 ,94.60 ,94.58 ,4714 ,95.59 ,95.58 ,7850 ,91.50 ,91.49 
20,4714 ,95.43 ,95.42 ,18826 ,94.99 ,94.97 ,4714 ,95.00 ,95.00 ,7850 ,91.64 ,91.63 
21,7850 ,91.58 ,91.57 ,18826 ,94.87 ,94.85 ,4714 ,95.65 ,95.64 ,7850 ,91.55 ,91.54 
22,7850 ,91.54 ,91.54 ,7850 ,91.51 ,91.50 ,4714 ,95.57 ,95.56 ,7850 ,91.67 ,91.66 
23,4714 ,95.81 ,95.80 ,18826 ,94.58 ,94.56 ,7850 ,91.56 ,91.55 ,7850 ,91.52 ,91.51 
24,7066 ,94.40 ,94.40 ,7850 ,91.64 ,91.63 ,4714 ,95.56 ,95.56 ,7850 ,91.50 ,91.49 
25,4714 ,95.31 ,95.30 ,18826 ,93.97 ,93.95 ,4714 ,94.73 ,94.73 ,7850 ,91.58 ,91.57 
26,4714 ,95.89 ,95.89 ,18826 ,95.00 ,94.99 ,4714 ,95.19 ,95.19 ,7850 ,91.68 ,91.67 
27,4714 ,95.95 ,95.94 ,18826 ,94.39 ,94.38 ,7850 ,91.64 ,91.64 ,7850 ,91.64 ,91.64 
28,7850 ,91.58 ,91.58 ,7850 ,91.61 ,91.60 ,4714 ,94.90 ,94.89 ,7850 ,91.56 ,91.55 
29,18826 ,94.50 ,94.49 ,7066 ,93.76 ,93.75 ,4714 ,95.54 ,95.53 ,7850 ,91.65 ,91.64 
30,18826 ,94.39 ,94.38 ,7850 ,91.61 ,91.60 ,18826 ,93.72 ,93.71 ,7850 ,91.51 ,91.50 
31,4714 ,95.22 ,95.22 ,18826 ,94.07 ,94.05 ,4714 ,95.63 ,95.63 ,7850 ,91.48 ,91.47 
32,4714 ,95.31 ,95.30 ,18826 ,94.01 ,93.99 ,7850 ,91.58 ,91.57 ,7850 ,91.56 ,91.55 
33,18826 ,94.98 ,94.96 ,18826 ,94.07 ,94.06 ,4714 ,95.25 ,95.25 ,7850 ,91.54 ,91.53 
34,4714 ,95.76 ,95.76 ,18826 ,95.06 ,95.04 ,4714 ,95.42 ,95.42 ,7850 ,91.63 ,91.62 
35,4714 ,95.75 ,95.75 ,18826 ,94.63 ,94.61 ,4714 ,95.45 ,95.45 ,7850 ,91.60 ,91.60 
36,4714 ,95.75 ,95.74 ,18826 ,95.33 ,95.31 ,4714 ,95.23 ,95.22 ,7850 ,91.62 ,91.61 
37,4714 ,95.45 ,95.45 ,18826 ,94.34 ,94.32 ,4714 ,95.51 ,95.50 ,7850 ,91.56 ,91.55 
38,7066 ,94.05 ,94.04 ,18826 ,94.29 ,94.27 ,7850 ,91.65 ,91.64 ,7850 ,91.56 ,91.55 
39,4714 ,95.99 ,95.99 ,18826 ,94.76 ,94.74 ,4714 ,95.36 ,95.35 ,7850 ,91.63 ,91.63 
40,4714 ,95.69 ,95.69 ,18826 ,94.70 ,94.68 ,4714 ,95.91 ,95.90 ,7850 ,91.63 ,91.62 
41,4714 ,95.85 ,95.85 ,7066 ,94.05 ,94.05 ,4714 ,95.61 ,95.60 ,7850 ,91.58 ,91.58 
42,4714 ,95.59 ,95.59 ,18826 ,94.46 ,94.44 ,4714 ,95.57 ,95.56 ,7850 ,91.68 ,91.68 
43,4714 ,96.03 ,96.03 ,7850 ,91.68 ,91.67 ,18826 ,94.43 ,94.41 ,7850 ,91.64 ,91.64 
44,4714 ,95.35 ,95.35 ,18826 ,94.45 ,94.43 ,4714 ,95.63 ,95.63 ,7850 ,91.52 ,91.51 
45,4714 ,95.95 ,95.95 ,18826 ,93.39 ,93.37 ,18826 ,94.59 ,94.57 ,7850 ,91.53 ,91.52 
46,4714 ,96.10 ,96.09 ,7066 ,93.92 ,93.91 ,4714 ,95.21 ,95.21 ,7850 ,91.65 ,91.64 
47,4714 ,95.40 ,95.39 ,18826 ,93.24 ,93.22 ,4714 ,95.28 ,95.28 ,7850 ,91.69 ,91.68 
48,4714 ,95.76 ,95.76 ,18826 ,94.53 ,94.51 ,7850 ,91.60 ,91.59 ,7850 ,91.67 ,91.67 
49,4714 ,95.61 ,95.61 ,7850 ,91.62 ,91.61 ,4714 ,95.71 ,95.71 ,7850 ,91.60 ,91.59 
50,18826 ,94.78 ,94.76 ,7850 ,91.53 ,91.52 ,4714 ,95.55 ,95.54 ,7850 ,91.55 ,91.54 
51,4714 ,95.90 ,95.90 ,18826 ,93.58 ,93.56 ,4714 ,95.49 ,95.48 ,7850 ,91.67 ,91.66 
52,4714 ,95.64 ,95.64 ,18826 ,94.27 ,94.25 ,18826 ,94.81 ,94.79 ,7850 ,91.61 ,91.60 
53,4714 ,96.10 ,96.09 ,7066 ,93.58 ,93.57 ,4714 ,95.63 ,95.63 ,7850 ,91.66 ,91.66 
54,18826 ,95.18 ,95.16 ,7066 ,94.06 ,94.05 ,4714 ,95.50 ,95.49 ,7850 ,91.58 ,91.58 
55,4714 ,95.82 ,95.82 ,18826 ,94.59 ,94.57 ,4714 ,95.38 ,95.38 ,7850 ,91.58 ,91.57 
56,4714 ,96.08 ,96.08 ,7850 ,91.60 ,91.59 ,4714 ,95.59 ,95.58 ,7850 ,91.61 ,91.60 
57,4714 ,95.89 ,95.89 ,7850 ,91.67 ,91.67 ,4714 ,95.66 ,95.66 ,7850 ,91.59 ,91.58 
58,4714 ,95.89 ,95.88 ,7850 ,91.74 ,91.73 ,4714 ,95.42 ,95.42 ,7850 ,91.48 ,91.47 
