model_id,parameter_count,accuracy
1,7850,91.60 
2,7850,91.68 
3,7850,91.68 
4,7850,91.68 
5,7850,91.58 
6,7850,91.60 
7,7850,91.53 
8,7850,91.60 
9,7850,91.65 
10,7850,91.65 
11,7850,91.67 
12,7850,91.52 
13,7850,91.66 
14,7850,91.57 
15,7850,91.62 
16,7850,91.59 
17,7850,91.57 
18,7850,91.64 
19,7850,91.50 
20,7850,91.64 
21,7850,91.55 
22,7850,91.67 
23,7850,91.52 
24,7850,91.50 
25,7850,91.58 
26,7850,91.68 
27,7850,91.64 
28,7850,91.56 
29,7850,91.65 
30,7850,91.51 
31,7850,91.48 
32,7850,91.56 
33,7850,91.54 
34,7850,91.63 
35,7850,91.60 
36,7850,91.62 
37,7850,91.56 
38,7850,91.56 
39,7850,91.63 
40,7850,91.63 
41,7850,91.58 
42,7850,91.68 
43,7850,91.64 
44,7850,91.52 
45,7850,91.53 
46,7850,91.65 
47,7850,91.69 
48,7850,91.67 
49,7850,91.60 
50,7850,91.55 
51,7850,91.67 
52,7850,91.61 
53,7850,91.66 
54,7850,91.58 
55,7850,91.58 
56,7850,91.61 
57,7850,91.59 
58,7850,91.48 
59,7850,91.50 
60,7850,91.62 
61,7850,91.54 
62,7850,91.63 
63,7850,91.59 
64,7850,91.61 
65,7850,91.72 
66,7850,91.58 
67,7850,91.62 
68,7850,91.65 
69,7850,91.60 
70,7850,91.51 
71,7850,91.61 
72,7850,91.55 
73,7850,91.62 
74,7850,91.62 
75,7850,91.59 
76,7850,91.54 
77,7850,91.67 
78,7850,91.52 
79,7850,91.70 
80,7850,91.58 
81,7850,91.65 
82,7850,91.67 
83,7850,91.55 
84,7850,91.51 
85,7850,91.58 
86,7850,91.62 
87,7850,91.47 
88,7850,91.57 
89,7850,91.64 
90,7850,91.49 
91,7850,91.69 
92,7850,91.64 
93,7850,91.58 
94,7850,91.55 
95,7850,91.56 
96,7850,91.57 
97,7850,91.54 
98,7850,91.54 
99,7850,91.58 
100,7850,91.56 
