model_id,parameter_count,accuracy
1,7850,91.58833312988281
2,4714,95.53500366210938
3,4714,95.6683349609375
4,18826,95.04499816894531
5,7850,91.51667022705078
6,4714,95.5
7,4714,95.43333435058594
8,4714,95.24500274658203
9,4714,95.47333526611328
10,4714,95.94999694824219
11,4714,95.90666961669922
12,4714,95.75166320800781
13,4714,95.9000015258789
14,18826,95.20166778564453
15,4714,95.7249984741211
16,4714,95.8550033569336
17,4714,95.6050033569336
18,4714,95.625
19,4714,95.52166748046875
20,4714,95.42833709716797
21,7850,91.58000183105469
22,7850,91.54499816894531
23,4714,95.8066635131836
24,7066,94.40333557128906
25,4714,95.30833435058594
26,4714,95.89167022705078
27,4714,95.94666290283203
28,7850,91.58333587646484
29,18826,94.50499725341797
30,18826,94.3949966430664
31,4714,95.22166442871094
32,4714,95.30500030517578
33,18826,94.97833251953125
34,4714,95.76333618164062
35,4714,95.75166320800781
36,4714,95.74833679199219
37,4714,95.45166778564453
38,7066,94.04666900634766
39,4714,95.98999786376953
40,4714,95.69000244140625
41,4714,95.85333251953125
42,4714,95.59333038330078
43,4714,96.03166961669922
44,4714,95.3499984741211
45,4714,95.95166778564453
46,4714,96.09500122070312
47,4714,95.39666748046875
48,4714,95.76166534423828
49,4714,95.61000061035156
50,18826,94.77833557128906
51,4714,95.90166473388672
52,4714,95.6433334350586
53,4714,96.09666442871094
54,18826,95.17833709716797
55,4714,95.82166290283203
56,4714,96.08000183105469
57,4714,95.8933334350586
58,4714,95.88833618164062
59,18826,94.57833099365234
60,4714,96.25333404541016
61,4714,95.97666931152344
62,4714,96.25666809082031
63,4714,95.86333465576172
64,18826,95.04666900634766
65,4714,95.57166290283203
66,18826,94.74833679199219
67,4714,95.46833038330078
68,4714,95.51000213623047
69,4714,95.84166717529297
70,4714,96.02333068847656
71,4714,95.66666412353516
72,4714,95.79666900634766
73,18826,94.0183334350586
74,4714,96.0
75,18826,95.08333587646484
76,7850,91.63666534423828
77,4714,95.76667022705078
78,4714,96.00499725341797
79,4714,95.47000122070312
80,4714,95.5999984741211
81,4714,95.836669921875
82,4714,95.34333038330078
83,4714,95.44666290283203
84,4714,96.0616683959961
85,4714,96.00333404541016
86,4714,95.21833038330078
87,7850,91.50666809082031
88,18826,95.26667022705078
89,18826,95.11666870117188
90,4714,95.39666748046875
91,4714,95.66000366210938
92,4714,95.68499755859375
93,18826,94.9000015258789
94,4714,95.53666687011719
95,4714,95.58333587646484
96,18826,95.0183334350586
97,4714,95.91999816894531
98,7066,94.06999969482422
99,4714,95.82833099365234
100,7850,91.53333282470703
