model_id,parameter_count,accuracy
1,18826,93.82666778564453
2,18826,93.82333374023438
3,18826,95.0999984741211
4,7850,91.65499877929688
5,18826,94.11333465576172
6,7850,91.59333038330078
7,18826,94.27666473388672
8,18826,94.1433334350586
9,18826,94.12000274658203
10,18826,93.49666595458984
11,18826,94.61833190917969
12,7850,91.5999984741211
13,7850,91.6449966430664
14,18826,94.17333221435547
15,18826,94.30166625976562
16,18826,94.04000091552734
17,18826,93.62000274658203
18,7850,91.5616683959961
19,18826,94.60166931152344
20,18826,94.99166870117188
21,18826,94.87000274658203
22,7850,91.51000213623047
23,18826,94.58000183105469
24,7850,91.63999938964844
25,18826,93.96666717529297
26,18826,95.00499725341797
27,18826,94.3949966430664
28,7850,91.61166381835938
29,7066,93.75833129882812
30,7850,91.61166381835938
31,18826,94.07333374023438
32,18826,94.01333618164062
33,18826,94.07499694824219
34,18826,95.05999755859375
35,18826,94.625
36,18826,95.33000183105469
37,18826,94.33999633789062
38,18826,94.28666687011719
39,18826,94.75666809082031
40,18826,94.69833374023438
41,7066,94.05333709716797
42,18826,94.46333312988281
43,7850,91.67833709716797
44,18826,94.45333099365234
45,18826,93.38999938964844
46,7066,93.91500091552734
47,18826,93.23666381835938
48,18826,94.5250015258789
49,7850,91.61666870117188
50,7850,91.53166961669922
51,18826,93.58333587646484
52,18826,94.26667022705078
53,7066,93.5816650390625
54,7066,94.0566635131836
55,18826,94.58833312988281
56,7850,91.5999984741211
57,7850,91.67333221435547
58,7850,91.73999786376953
59,7850,91.55333709716797
60,7850,91.61666870117188
61,7066,93.75666809082031
62,18826,95.19499969482422
63,18826,94.336669921875
64,18826,94.76166534423828
65,18826,93.30000305175781
66,7066,93.88500213623047
67,7850,91.54000091552734
68,18826,93.6433334350586
69,18826,94.34333038330078
70,18826,94.6816635131836
71,18826,94.2249984741211
72,18826,94.42833709716797
73,18826,94.663330078125
74,18826,93.82499694824219
75,18826,93.77166748046875
76,18826,94.74333190917969
77,18826,94.90333557128906
78,18826,94.64666748046875
79,7850,91.60333251953125
80,7066,93.26166534423828
81,18826,93.7316665649414
82,18826,94.23999786376953
83,18826,94.75166320800781
84,18826,94.86166381835938
85,18826,94.1866683959961
86,7066,94.0616683959961
87,7066,93.25166320800781
88,7066,94.35832977294922
89,18826,93.75333404541016
90,18826,94.51333618164062
91,18826,93.9366683959961
92,18826,94.20833587646484
93,18826,94.07166290283203
94,18826,94.08833312988281
95,7850,91.61666870117188
96,18826,93.85333251953125
97,7066,93.98999786376953
98,18826,94.6050033569336
99,18826,93.9000015258789
100,18826,94.01499938964844
