model_id,parameter_count,accuracy
1,18826,93.95833587646484
2,7850,91.62999725341797
3,7850,91.64833068847656
4,4714,95.01499938964844
5,4714,95.26333618164062
6,4714,94.75166320800781
7,4714,95.67666625976562
8,4714,95.21333312988281
9,4714,95.41000366210938
10,18826,93.85832977294922
11,7850,91.61666870117188
12,4714,95.51166534423828
13,4714,95.44999694824219
14,4714,95.4000015258789
15,18826,94.67333221435547
16,4714,95.211669921875
17,4714,95.71333312988281
18,7850,91.5616683959961
19,4714,95.58833312988281
20,4714,95.00166320800781
21,4714,95.64833068847656
22,4714,95.56666564941406
23,7850,91.5566635131836
24,4714,95.5616683959961
25,4714,94.7300033569336
26,4714,95.19000244140625
27,7850,91.6449966430664
28,4714,94.89666748046875
29,4714,95.53666687011719
30,18826,93.7249984741211
31,4714,95.63333129882812
32,7850,91.57833099365234
33,4714,95.25166320800781
34,4714,95.42166900634766
35,4714,95.45166778564453
36,4714,95.22666931152344
37,4714,95.50666809082031
38,7850,91.6500015258789
39,4714,95.35832977294922
40,4714,95.90666961669922
41,4714,95.6066665649414
42,4714,95.56666564941406
43,18826,94.42500305175781
44,4714,95.63166809082031
45,18826,94.58999633789062
46,4714,95.20999908447266
47,4714,95.27999877929688
48,7850,91.5999984741211
49,4714,95.70999908447266
50,4714,95.54666900634766
51,4714,95.48500061035156
52,18826,94.80833435058594
53,4714,95.62999725341797
54,4714,95.49666595458984
55,4714,95.38333129882812
56,4714,95.58833312988281
57,4714,95.66166687011719
58,4714,95.42166900634766
59,4714,95.69833374023438
60,7850,91.54499816894531
61,4714,95.16000366210938
62,7850,91.55999755859375
63,4714,94.75666809082031
64,7850,91.65499877929688
65,4714,95.5
66,18826,94.42500305175781
67,4714,94.98332977294922
68,4714,95.49500274658203
69,18826,94.2933349609375
70,4714,95.73332977294922
71,4714,95.11166381835938
72,4714,95.4000015258789
73,18826,94.26000213623047
74,7850,91.62000274658203
75,4714,95.3566665649414
76,7850,91.56999969482422
77,4714,95.62833404541016
78,4714,95.1433334350586
79,4714,95.39666748046875
80,7850,91.5816650390625
81,4714,95.03166961669922
82,4714,95.3116683959961
83,4714,95.40833282470703
84,4714,95.27333068847656
85,4714,95.73833465576172
86,4714,95.30999755859375
87,4714,95.9383316040039
88,4714,95.36666870117188
89,4714,95.69999694824219
90,4714,95.42833709716797
91,4714,95.65666961669922
92,4714,95.42666625976562
93,4714,95.33833312988281
94,18826,94.18499755859375
95,7850,91.67333221435547
96,4714,95.3066635131836
97,4714,94.94499969482422
98,4714,95.4366683959961
99,4714,95.38999938964844
100,18826,94.64666748046875
